pair,lang1,lang2,layer,cosine,angle_deg
en_vs_es,en,es,12,-0.21325528621673584,102.31318888422452
en_vs_es,en,es,13,-0.23026713728904724,103.31279974073374
en_vs_es,en,es,14,0.3978915214538574,66.55356669059474
en_vs_es,en,es,15,0.6518281102180481,49.32042422953685
en_vs_es,en,es,16,0.8279003500938416,34.1163465395503
en_vs_es,en,es,17,0.914836585521698,23.81746931859155
en_vs_es,en,es,18,0.8920052647590637,26.873680757388946
en_vs_es,en,es,19,0.915547788143158,23.716359624537304
en_vs_es,en,es,20,0.9200680255889893,23.063971163609914
en_vs_es,en,es,21,0.9144212603569031,23.876328403106253
en_vs_es,en,es,22,0.8950876593589783,26.480308413209105
en_vs_es,en,es,23,0.8883250951766968,27.336472139008105
en_vs_es,en,es,24,0.8990014791488647,25.9728750437177
en_vs_es,en,es,25,0.8934047818183899,26.6957414499178
en_vs_es,en,es,26,0.8999131321907043,25.853348800492796
en_vs_ko,en,ko,12,-0.0533817894756794,93.06000572151646
en_vs_ko,en,ko,13,-0.07073841243982315,94.05640027672648
en_vs_ko,en,ko,14,0.4751482307910919,61.63099824228693
en_vs_ko,en,ko,15,0.692471981048584,46.173892463941954
en_vs_ko,en,ko,16,0.8376917243003845,33.10283186566488
en_vs_ko,en,ko,17,0.9263128042221069,22.13284539366263
en_vs_ko,en,ko,18,0.9059078097343445,25.05417135860353
en_vs_ko,en,ko,19,0.9189243316650391,23.23067025773094
en_vs_ko,en,ko,20,0.911107063293457,24.341209422429017
en_vs_ko,en,ko,21,0.9040011763572693,25.31090750546062
en_vs_ko,en,ko,22,0.883396565914154,27.945156548773706
en_vs_ko,en,ko,23,0.8697108626365662,29.57494275659438
en_vs_ko,en,ko,24,0.8842455744743347,27.841176051907023
en_vs_ko,en,ko,25,0.8642212152481079,30.206103159841327
en_vs_ko,en,ko,26,0.8885772824287415,27.304990272464426
ko_vs_es,ko,es,12,0.5093350410461426,59.380452693878205
ko_vs_es,ko,es,13,0.4805927276611328,61.275878852402386
ko_vs_es,ko,es,14,0.6632707715034485,48.45019993515866
ko_vs_es,ko,es,15,0.7805105447769165,38.69265580439917
ko_vs_es,ko,es,16,0.885719895362854,27.65975754343784
ko_vs_es,ko,es,17,0.9476032257080078,18.629649840796766
ko_vs_es,ko,es,18,0.9391400814056396,20.092357833164353
ko_vs_es,ko,es,19,0.9478994607925415,18.576444499567366
ko_vs_es,ko,es,20,0.9497215747833252,18.245892409084647
ko_vs_es,ko,es,21,0.9497354030609131,18.243361697321184
ko_vs_es,ko,es,22,0.9311166405677795,21.39044680126794
ko_vs_es,ko,es,23,0.9201672673225403,23.049452466357216
ko_vs_es,ko,es,24,0.9286877512931824,21.768825270640185
ko_vs_es,ko,es,25,0.9064085483551025,24.986335954863005
ko_vs_es,ko,es,26,0.9052162766456604,25.14757234549667
