language,layer,label,PC1,PC2
en,12,en_L12,0.27871636,0.14647156
en,13,en_L13,0.2857927,0.13245773
en,14,en_L14,0.4681974,0.13536689
en,15,en_L15,0.5088568,-0.05155761
en,16,en_L16,0.50324476,-0.18153726
en,17,en_L17,0.4190955,-0.37953335
en,18,en_L18,0.20926997,-0.5104751
en,19,en_L19,0.010542197,-0.5236067
en,20,en_L20,-0.20279287,-0.43286234
en,21,en_L21,-0.3530925,-0.30063975
en,22,en_L22,-0.45833403,-0.14381987
en,23,en_L23,-0.49469614,-0.017078863
en,24,en_L24,-0.52444595,0.15246636
en,25,en_L25,-0.47880077,0.25651944
en,26,en_L26,-0.30206934,0.3793211
ko,12,ko_L12,0.43742067,0.5405443
ko,13,ko_L13,0.45373106,0.5257918
ko,14,ko_L14,0.54870564,0.38721907
ko,15,ko_L15,0.5936337,0.13627031
ko,16,ko_L16,0.5454913,-0.075338386
ko,17,ko_L17,0.4291368,-0.34247842
ko,18,ko_L18,0.2103836,-0.45825532
ko,19,ko_L19,0.0052513178,-0.4768412
ko,20,ko_L20,-0.21496429,-0.3601305
ko,21,ko_L21,-0.36506107,-0.21616614
ko,22,ko_L22,-0.47229284,-0.047992904
ko,23,ko_L23,-0.501078,0.088967696
ko,24,ko_L24,-0.5183056,0.261384
ko,25,ko_L25,-0.46794775,0.34475502
ko,26,ko_L26,-0.28713354,0.44063595
es,12,es_L12,0.35319388,0.52827036
es,13,es_L13,0.34159207,0.5099419
es,14,es_L14,0.50801253,0.38232568
es,15,es_L15,0.5213669,0.12119824
es,16,es_L16,0.48823723,-0.09355108
es,17,es_L17,0.3876466,-0.35482785
es,18,es_L18,0.1544816,-0.46513385
es,19,es_L19,-0.023633758,-0.4813099
es,20,es_L20,-0.2398345,-0.37166
es,21,es_L21,-0.3927917,-0.21831073
es,22,es_L22,-0.50007427,-0.047812857
es,23,es_L23,-0.52019024,0.079021774
es,24,es_L24,-0.5393597,0.24271043
es,25,es_L25,-0.48404923,0.3311936
es,26,es_L26,-0.3210524,0.42808706
