language,layer,label,PC1,PC2
en,12,en_L12,11.44486,5.3156123
en,13,en_L13,11.386797,5.3507323
en,14,en_L14,11.210016,5.292465
en,15,en_L15,10.95295,4.7049646
en,16,en_L16,10.5156765,4.1070113
en,17,en_L17,8.548226,2.9987094
en,18,en_L18,7.4301615,-0.3699892
en,19,en_L19,4.2299223,-5.2878094
en,20,en_L20,-0.044449173,-12.612873
en,21,en_L21,-6.4381886,-18.661648
en,22,en_L22,-13.051377,-24.416914
en,23,en_L23,-19.202265,-28.535213
en,24,en_L24,-37.710552,-25.293097
en,25,en_L25,-49.637783,-20.859379
en,26,en_L26,-94.32655,34.991833
ko,12,ko_L12,11.495791,5.4549255
ko,13,ko_L13,11.495164,5.4448915
ko,14,ko_L14,11.46144,5.398751
ko,15,ko_L15,11.391956,5.3587613
ko,16,ko_L16,11.289063,5.169527
ko,17,ko_L17,10.800479,4.718683
ko,18,ko_L18,10.585444,3.8095107
ko,19,ko_L19,9.774407,2.5833113
ko,20,ko_L20,8.550072,0.62981546
ko,21,ko_L21,6.9753456,-0.9677828
ko,22,ko_L22,5.2817044,-2.4810395
ko,23,ko_L23,3.5522072,-3.4915955
ko,24,ko_L24,-2.732376,-2.1090643
ko,25,ko_L25,-5.8707,-0.77821314
ko,26,ko_L26,-19.891075,16.98198
es,12,es_L12,11.495707,5.3912215
es,13,es_L13,11.49772,5.3624005
es,14,es_L14,11.44683,5.376494
es,15,es_L15,11.382757,5.2433085
es,16,es_L16,11.234575,5.031965
es,17,es_L17,10.620271,4.467921
es,18,es_L18,10.312922,3.3730578
es,19,es_L19,9.245487,1.871949
es,20,es_L20,7.5042963,-0.703034
es,21,es_L21,5.4009132,-3.2313836
es,22,es_L22,3.1484976,-5.5399055
es,23,es_L23,0.98692566,-6.940662
es,24,es_L24,-6.5636,-5.51474
es,25,es_L25,-10.669184,-3.5872045
es,26,es_L26,-26.51048,16.951746
