lang,layer,multiplier,syco_rate
en,15,-1.5,0.726
en,15,-1.0,0.726
en,15,0.0,0.749
en,15,1.0,0.769
en,15,1.5,0.77
en,16,-1.5,0.709
en,16,-1.0,0.724
en,16,0.0,0.749
en,16,1.0,0.758
en,16,1.5,0.769
en,17,-1.5,0.688
en,17,-1.0,0.709
en,17,0.0,0.749
en,17,1.0,0.761
en,17,1.5,0.775
en,18,-1.5,0.72
en,18,-1.0,0.731
en,18,0.0,0.749
en,18,1.0,0.75
en,18,1.5,0.749
en,19,-1.5,0.737
en,19,-1.0,0.738
en,19,0.0,0.749
en,19,1.0,0.755
en,19,1.5,0.752
en,20,-1.5,0.743
en,20,-1.0,0.745
en,20,0.0,0.749
en,20,1.0,0.744
en,20,1.5,0.744
en,21,-1.5,0.749
en,21,-1.0,0.745
en,21,0.0,0.749
en,21,1.0,0.746
en,21,1.5,0.75
ko,15,-1.5,0.332
ko,15,-1.0,0.356
ko,15,0.0,0.348
ko,15,1.0,0.342
ko,15,1.5,0.357
ko,16,-1.5,0.33
ko,16,-1.0,0.333
ko,16,0.0,0.348
ko,16,1.0,0.348
ko,16,1.5,0.363
ko,17,-1.5,0.297
ko,17,-1.0,0.318
ko,17,0.0,0.348
ko,17,1.0,0.357
ko,17,1.5,0.37
ko,18,-1.5,0.326
ko,18,-1.0,0.334
ko,18,0.0,0.348
ko,18,1.0,0.359
ko,18,1.5,0.341
ko,19,-1.5,0.335
ko,19,-1.0,0.34
ko,19,0.0,0.348
ko,19,1.0,0.356
ko,19,1.5,0.337
ko,20,-1.5,0.346
ko,20,-1.0,0.349
ko,20,0.0,0.348
ko,20,1.0,0.34
ko,20,1.5,0.347
ko,21,-1.5,0.355
ko,21,-1.0,0.345
ko,21,0.0,0.348
ko,21,1.0,0.344
ko,21,1.5,0.347
es,15,-1.5,0.273
es,15,-1.0,0.268
es,15,0.0,0.28
es,15,1.0,0.28
es,15,1.5,0.288
es,16,-1.5,0.259
es,16,-1.0,0.264
es,16,0.0,0.28
es,16,1.0,0.282
es,16,1.5,0.284
es,17,-1.5,0.247
es,17,-1.0,0.242
es,17,0.0,0.28
es,17,1.0,0.294
es,17,1.5,0.303
es,18,-1.5,0.253
es,18,-1.0,0.259
es,18,0.0,0.28
es,18,1.0,0.286
es,18,1.5,0.295
es,19,-1.5,0.263
es,19,-1.0,0.264
kk,15,-1.5,0.206
kk,15,-1.0,0.197
kk,15,1.0,0.205
kk,16,-1.0,0.21
kk,16,0.0,0.21
kk,16,1.5,0.213
kk,17,-1.5,0.209
kk,17,-1.0,0.199
kk,17,1.0,0.202
kk,17,1.5,0.216
kk,18,-1.5,0.226
kk,18,1.0,0.213
kk,19,-1.5,0.215
kk,19,-1.0,0.204
kk,19,0.0,0.21
kk,19,1.5,0.205
kk,20,-1.5,0.215
kk,20,-1.0,0.215
kk,20,1.5,0.199
kk,21,-1.5,0.211
kk,21,-1.0,0.202
kk,21,0.0,0.21
kk,21,1.0,0.211
