language,layer,dim
en,12,3584
en,13,3584
en,14,3584
en,15,3584
en,16,3584
en,17,3584
en,18,3584
en,19,3584
en,20,3584
en,21,3584
en,22,3584
en,23,3584
en,24,3584
en,25,3584
en,26,3584
es,12,3584
es,13,3584
es,14,3584
es,15,3584
es,16,3584
es,17,3584
es,18,3584
es,19,3584
es,20,3584
es,21,3584
es,22,3584
es,23,3584
es,24,3584
es,25,3584
es,26,3584
ko,12,3584
ko,13,3584
ko,14,3584
ko,15,3584
ko,16,3584
ko,17,3584
ko,18,3584
ko,19,3584
ko,20,3584
ko,21,3584
ko,22,3584
ko,23,3584
ko,24,3584
ko,25,3584
ko,26,3584
