language,layer,norm
en,12,2.4957122802734375
en,13,2.5310561656951904
en,14,4.598018169403076
en,15,6.604489326477051
en,16,10.38049030303955
en,17,21.017446517944336
en,18,19.245376586914062
en,19,26.05129051208496
en,20,32.169342041015625
en,21,38.19861602783203
en,22,43.30205535888672
en,23,48.60375213623047
en,24,61.18058395385742
en,25,72.0099105834961
en,26,110.99765014648438
es,12,0.6638874411582947
es,13,0.7191888689994812
es,14,1.101469874382019
es,15,1.585355281829834
es,16,2.863440990447998
es,17,6.23762321472168
es,18,6.017129898071289
es,19,8.670001983642578
es,20,11.58676815032959
es,21,14.155778884887695
es,22,16.522932052612305
es,23,18.994686126708984
es,24,24.87385368347168
es,25,29.166318893432617
es,26,43.00639343261719
ko,12,0.6787651777267456
ko,13,0.7272876501083374
ko,14,1.1469745635986328
ko,15,1.6001057624816895
ko,16,2.5534207820892334
ko,17,5.286153793334961
ko,18,4.996512413024902
ko,19,6.934779167175293
ko,20,9.017902374267578
ko,21,10.677607536315918
ko,22,12.375144004821777
ko,23,14.363773345947266
ko,24,19.397165298461914
ko,25,23.012649536132812
ko,26,36.800289154052734
