lang_pair,layer,cosine
en-it,24,0.9883459210395813
en-kk,24,0.9609902501106262
en-zh,24,0.9833418130874634
en-ko,24,0.9819204807281494
en-it,25,0.9902719259262085
en-kk,25,0.9723898768424988
en-zh,25,0.9858777523040771
en-ko,25,0.9870008230209351
en-it,26,0.98666912317276
en-kk,26,0.9599905014038086
en-zh,26,0.9788839817047119
en-ko,26,0.9766916036605835
en-it,27,0.9856516122817993
en-kk,27,0.9601209759712219
en-zh,27,0.9789319038391113
en-ko,27,0.9755862355232239
en-it,28,0.9829380512237549
en-kk,28,0.9526870250701904
en-zh,28,0.9751101732254028
en-ko,28,0.9709388017654419
