lang,layer,cosine,delta,abs_delta,orig_rate
it,24,0.9883459210395812,-2.631578947368425,2.631578947368425,91.57894736842105
it,25,0.9902719259262084,-21.505376344086017,21.505376344086017,91.39784946236558
it,26,0.98666912317276,-14.207650273224047,14.207650273224047,91.2568306010929
it,27,0.9856516122817992,-15.706806282722525,15.706806282722525,91.62303664921467
it,28,0.9829380512237548,-2.7027027027026946,2.7027027027026946,91.35135135135135
zh,24,0.9833418130874634,1.5075376884422127,1.5075376884422127,87.43718592964824
zh,25,0.9858777523040771,-16.062176165803095,16.062176165803095,89.11917098445595
zh,26,0.978883981704712,-14.141414141414131,14.141414141414131,87.37373737373737
zh,27,0.9789319038391112,-20.202020202020194,20.202020202020194,87.37373737373737
zh,28,0.9751101732254028,-2.0618556701030855,2.0618556701030855,88.65979381443299
ko,24,0.9819204807281494,1.5,1.5,88.0
ko,25,0.9870008230209352,-11.5,11.5,88.0
ko,26,0.9766916036605836,-14.720812182741113,14.720812182741113,88.3248730964467
ko,27,0.975586235523224,-11.5,11.5,88.0
ko,28,0.970938801765442,1.0,1.0,88.0
kk,24,0.9609902501106262,1.5075376884422127,1.5075376884422127,87.43718592964824
kk,25,0.9723898768424988,-20.5,20.5,87.0
kk,26,0.9599905014038086,-15.075376884422113,15.075376884422113,86.93467336683418
kk,27,0.960120975971222,-19.69696969696969,19.69696969696969,87.37373737373737
kk,28,0.9526870250701904,2.0,2.0,87.0
