lang,layer,cosine,delta,abs_delta
it,12,0.5696606040000916,1.0,1.0
it,13,0.7860499620437622,1.5,1.5
it,14,0.8480396270751953,6.0,6.0
it,15,0.8261586427688599,1.0,1.0
it,16,0.8410239219665527,0.5,0.5
zh,12,0.7356510162353516,3.0,3.0
zh,13,0.8323432803153992,1.5,1.5
zh,14,0.8859810829162598,-4.5,4.5
zh,15,0.8664332032203674,0.5,0.5
zh,16,0.8691650629043579,0.0,0.0
ko,12,0.4702745079994201,-2.5,2.5
ko,13,0.6626218557357788,-1.0,1.0
ko,14,0.7411870956420898,2.0,2.0
ko,15,0.7308713793754578,-2.5,2.5
ko,16,0.7646738290786743,1.0,1.0
kk,12,0.4231836199760437,2.0,2.0
kk,13,0.3755925297737121,5.0,5.0
kk,14,0.3794446587562561,5.0,5.0
kk,15,0.362388014793396,4.0,4.0
kk,16,0.3674066662788391,5.5,5.5
