lang_pair,layer,cosine
en-it,13,0.9805312156677246
en-kk,13,0.9184427857398987
en-zh,13,0.9868740439414978
en-ko,13,0.9639622569084167
en-it,14,0.9758443832397461
en-kk,14,0.9092761278152466
en-zh,14,0.9814603328704834
en-ko,14,0.9495426416397095
en-it,15,0.9711586833000183
en-kk,15,0.9156453013420105
en-zh,15,0.9814934730529785
en-ko,15,0.9501234292984009
en-it,16,0.978300929069519
en-kk,16,0.93440842628479
en-zh,16,0.9840744733810425
en-ko,16,0.957144558429718
en-it,17,0.9749288558959961
en-kk,17,0.921114444732666
en-zh,17,0.9779083728790283
en-ko,17,0.9510719776153564
en-it,18,0.9701137542724609
en-kk,18,0.9100038409233093
en-zh,18,0.974118709564209
en-ko,18,0.9431254863739014
