lang,layer,cosine,delta,abs_delta,orig_rate
it,13,0.9805312156677246,-30.967741935483865,30.967741935483865,76.77419354838709
it,14,0.975844383239746,-19.186046511627914,19.186046511627914,76.16279069767442
it,15,0.9711586833000184,-21.088435374149668,21.088435374149668,78.2312925170068
it,16,0.978300929069519,-2.985074626865668,2.985074626865668,79.1044776119403
it,17,0.974928855895996,-14.893617021276604,14.893617021276604,76.59574468085107
it,18,0.9701137542724608,-2.7777777777777715,2.7777777777777715,80.55555555555556
zh,13,0.9868740439414978,-31.2883435582822,31.2883435582822,82.82208588957054
zh,14,0.9814603328704834,-25.433526011560687,25.433526011560687,83.8150289017341
zh,15,0.9814934730529784,-24.852071005917168,24.852071005917168,82.84023668639054
zh,16,0.9840744733810424,-20.26143790849673,20.26143790849673,84.31372549019608
zh,17,0.9779083728790284,-12.903225806451616,12.903225806451616,83.87096774193549
zh,18,0.974118709564209,-9.94152046783627,9.94152046783627,83.62573099415205
ko,13,0.9639622569084167,-14.035087719298247,14.035087719298247,76.60818713450293
ko,14,0.9495426416397096,-13.157894736842103,13.157894736842103,76.84210526315789
ko,15,0.9501234292984008,-19.148936170212764,19.148936170212764,76.59574468085107
ko,16,0.957144558429718,-16.66666666666667,16.66666666666667,78.39506172839506
ko,17,0.9510719776153564,-6.122448979591837,6.122448979591837,78.2312925170068
ko,18,0.9431254863739014,-15.432098765432109,15.432098765432109,77.77777777777779
kk,13,0.9184427857398988,-18.238993710691823,18.238993710691823,74.84276729559748
kk,14,0.9092761278152466,-15.300546448087438,15.300546448087438,74.31693989071039
kk,15,0.9156453013420104,-19.285714285714285,19.285714285714285,74.28571428571429
kk,16,0.93440842628479,-27.586206896551722,27.586206896551722,75.17241379310344
kk,17,0.921114444732666,-14.102564102564095,14.102564102564095,72.43589743589743
kk,18,0.9100038409233092,-22.674418604651166,22.674418604651166,74.4186046511628
