regime,language,task,layer,eval,condition,method,seed,metric
strong,ko,sycophancy,17,token_prob,baseline,na,na,60.0
strong,ko,sycophancy,17,token_prob,real,na,na,49.29
strong,ko,sycophancy,17,token_prob,random,gaussian,0,58.48
strong,ko,sycophancy,17,token_prob,random,gaussian,1,58.79
strong,ko,sycophancy,17,token_prob,random,gaussian,2,58.59
strong,ko,sycophancy,17,token_prob,random,gaussian,3,59.09
strong,ko,sycophancy,17,token_prob,random,gaussian,4,57.47
strong,ko,sycophancy,17,token_prob,random,gaussian,5,59.29
strong,ko,sycophancy,17,token_prob,random,gaussian,6,58.99
strong,ko,sycophancy,17,token_prob,random,gaussian,7,58.59
strong,ko,sycophancy,17,token_prob,random,gaussian,8,58.18
strong,ko,sycophancy,17,token_prob,random,gaussian,9,59.09
strong,ko,sycophancy,17,token_prob,random,permute,0,60.1
strong,ko,sycophancy,17,token_prob,random,permute,1,59.29
strong,ko,sycophancy,17,token_prob,random,permute,2,59.6
strong,ko,sycophancy,17,token_prob,random,permute,3,59.6
strong,ko,sycophancy,17,token_prob,random,permute,4,59.39
strong,ko,sycophancy,17,token_prob,random,permute,5,58.69
strong,ko,sycophancy,17,token_prob,random,permute,6,58.99
strong,ko,sycophancy,17,token_prob,random,permute,7,59.19
strong,ko,sycophancy,17,token_prob,random,permute,8,58.59
strong,ko,sycophancy,17,token_prob,random,permute,9,59.9
