regime,language,task,layer,eval,condition,method,seed,metric
corrected,es,sycophancy,17,token_prob,baseline,na,na,59.8
corrected,es,sycophancy,17,token_prob,real,na,na,59.4
corrected,es,sycophancy,17,token_prob,random,gaussian,0,59.9
corrected,es,sycophancy,17,token_prob,random,gaussian,1,60.3
corrected,es,sycophancy,17,token_prob,random,gaussian,2,60.2
corrected,es,sycophancy,17,token_prob,random,gaussian,3,59.9
corrected,es,sycophancy,17,token_prob,random,gaussian,4,59.8
corrected,es,sycophancy,17,token_prob,random,gaussian,5,59.2
corrected,es,sycophancy,17,token_prob,random,gaussian,6,60.2
corrected,es,sycophancy,17,token_prob,random,gaussian,7,60.1
corrected,es,sycophancy,17,token_prob,random,gaussian,8,59.7
corrected,es,sycophancy,17,token_prob,random,gaussian,9,60.3
corrected,es,sycophancy,17,token_prob,random,permute,0,59.7
corrected,es,sycophancy,17,token_prob,random,permute,1,60.1
corrected,es,sycophancy,17,token_prob,random,permute,2,60.0
corrected,es,sycophancy,17,token_prob,random,permute,3,60.3
corrected,es,sycophancy,17,token_prob,random,permute,4,59.8
corrected,es,sycophancy,17,token_prob,random,permute,5,59.7
corrected,es,sycophancy,17,token_prob,random,permute,6,60.0
corrected,es,sycophancy,17,token_prob,random,permute,7,59.7
corrected,es,sycophancy,17,token_prob,random,permute,8,59.7
corrected,es,sycophancy,17,token_prob,random,permute,9,59.6
