regime,language,task,layer,eval,condition,method,seed,metric,unparseable
strong,en,syllogism,20,generation,real,na,na,69.17,71
strong,en,syllogism,20,generation,baseline,na,na,57.82,44
corrected,en,syllogism,20,generation,random,gaussian,0,57.62,40
corrected,en,syllogism,20,generation,random,gaussian,1,57.72,42
corrected,en,syllogism,20,generation,random,gaussian,2,59.46,43
corrected,en,syllogism,20,generation,random,gaussian,3,56.67,41
corrected,en,syllogism,20,generation,random,gaussian,4,57.72,42
corrected,en,syllogism,20,generation,random,permute,0,57.53,45
corrected,en,syllogism,20,generation,random,permute,1,57.82,44
corrected,en,syllogism,20,generation,random,permute,2,57.53,45
corrected,en,syllogism,20,generation,random,permute,3,57.72,42
corrected,en,syllogism,20,generation,random,permute,4,58.0,41
strong,en,syllogism,20,generation,random,gaussian,0,50.0,13
strong,en,syllogism,20,generation,random,gaussian,1,63.01,118
strong,en,syllogism,20,generation,random,gaussian,10,54.86,47
strong,en,syllogism,20,generation,random,gaussian,11,57.65,106
strong,en,syllogism,20,generation,random,gaussian,12,54.97,40
strong,en,syllogism,20,generation,random,gaussian,13,53.62,53
strong,en,syllogism,20,generation,random,gaussian,14,51.88,58
strong,en,syllogism,20,generation,random,gaussian,15,61.36,147
strong,en,syllogism,20,generation,random,gaussian,16,54.55,37
strong,en,syllogism,20,generation,random,gaussian,17,55.8,10
strong,en,syllogism,20,generation,random,gaussian,18,59.24,34
strong,en,syllogism,20,generation,random,gaussian,19,51.52,26
strong,en,syllogism,20,generation,random,gaussian,2,68.89,146
strong,en,syllogism,20,generation,random,gaussian,3,56.52,30
strong,en,syllogism,20,generation,random,gaussian,4,60.17,73
strong,en,syllogism,20,generation,random,gaussian,5,56.22,6
strong,en,syllogism,20,generation,random,gaussian,6,55.35,32
strong,en,syllogism,20,generation,random,gaussian,7,59.13,76
strong,en,syllogism,20,generation,random,gaussian,8,53.09,29
strong,en,syllogism,20,generation,random,gaussian,9,60.77,61
strong,en,syllogism,20,generation,random,permute,0,54.36,42
strong,en,syllogism,20,generation,random,permute,1,63.54,95
strong,en,syllogism,20,generation,random,permute,10,54.93,49
strong,en,syllogism,20,generation,random,permute,11,61.95,78
strong,en,syllogism,20,generation,random,permute,12,53.16,33
strong,en,syllogism,20,generation,random,permute,13,56.58,39
strong,en,syllogism,20,generation,random,permute,14,71.0,91
strong,en,syllogism,20,generation,random,permute,15,58.06,36
strong,en,syllogism,20,generation,random,permute,16,52.25,13
strong,en,syllogism,20,generation,random,permute,17,58.09,55
strong,en,syllogism,20,generation,random,permute,18,55.65,76
strong,en,syllogism,20,generation,random,permute,19,51.11,56
strong,en,syllogism,20,generation,random,permute,2,52.27,15
strong,en,syllogism,20,generation,random,permute,3,55.42,25
strong,en,syllogism,20,generation,random,permute,4,50.0,31
strong,en,syllogism,20,generation,random,permute,5,54.74,54
strong,en,syllogism,20,generation,random,permute,6,51.88,31
strong,en,syllogism,20,generation,random,permute,7,65.91,59
strong,en,syllogism,20,generation,random,permute,8,65.31,93
strong,en,syllogism,20,generation,random,permute,9,55.48,36
corrected,en,syllogism,20,generation,random,gaussian,0,60.0,51
corrected,en,syllogism,20,generation,random,gaussian,1,61.54,48
corrected,en,syllogism,20,generation,random,gaussian,2,60.54,44
corrected,en,syllogism,20,generation,random,gaussian,3,61.7,50
corrected,en,syllogism,20,generation,random,gaussian,4,59.86,49
corrected,en,syllogism,20,generation,random,permute,0,59.31,46
corrected,en,syllogism,20,generation,random,permute,1,60.71,51
corrected,en,syllogism,20,generation,random,permute,2,60.84,48
corrected,en,syllogism,20,generation,random,permute,3,60.28,50
corrected,en,syllogism,20,generation,random,permute,4,60.27,45
strong,en,syllogism,20,generation,random,gaussian,0,55.91,98
strong,en,syllogism,20,generation,random,gaussian,1,55.38,126
strong,en,syllogism,20,generation,random,gaussian,2,57.3,102
strong,en,syllogism,20,generation,random,gaussian,3,61.29,98
strong,en,syllogism,20,generation,random,gaussian,4,56.74,50
strong,en,syllogism,20,generation,random,permute,0,55.37,70
strong,en,syllogism,20,generation,random,permute,1,59.85,59
strong,en,syllogism,20,generation,random,permute,2,58.46,61
strong,en,syllogism,20,generation,random,permute,3,60.29,123
strong,en,syllogism,20,generation,random,permute,4,60.2,93
